country_name,country_code,indicator_name,indicator_code,debt_2021,debt_2022,total_debt2023
Angola,AGO,"PPG, bonds (INT, current US$)",DT.INT.PBND.CD,705102000,721574000,797740000
Angola,AGO,"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",DT.AMT.DPNG.CD,816167000,6349894000,678403270
Angola,AGO,"PPG, bilateral (INT, current US$)",DT.INT.BLAT.CD,86682284.9,245765798.5,590698715.8
Angola,AGO,"PPG, multilateral (DIS, current US$)",DT.DIS.MLAT.CD,942196889.8,892715072.9,425834834.9
Angola,AGO,"PPG, multilateral (INT, current US$)",DT.INT.MLAT.CD,53131076.2,84669217.3,251016048.2
Angola,AGO,"PPG, other private creditors (INT, current US$)",DT.INT.PROP.CD,164840680.7,178944616.3,207297000
Angola,AGO,"PPG, multilateral (AMT, current US$)",DT.AMT.MLAT.CD,134801320.4,162877674.3,177293347.9
Angola,AGO,"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",DT.INT.DPNG.CD,106432000,48466000,110052000
Angola,AGO,"PPG, bonds (AMT, current US$)",DT.AMT.PBND.CD,0,635587000,0
Argentina,ARG,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,16661374873,10045151301,37865603355
Argentina,ARG,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,14562004626,8562323300,28547301423
Argentina,ARG,"PPG, private creditors (AMT, current US$)",DT.AMT.PRVT.CD,1914290784,3619890982,26278979478
Argentina,ARG,"PPG, bonds (AMT, current US$)",DT.AMT.PBND.CD,1775750811,3438191118,26225013672
Argentina,ARG,"PPG, private creditors (DIS, current US$)",DT.DIS.PRVT.CD,1084431564,2053683747,23421004779
Argentina,ARG,"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",DT.AMT.DPNG.CD,12188819000,3976623000,8659445258
Argentina,ARG,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD,3821545062,5015538554,5126296643
Argentina,ARG,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,3308314246,3066522626,4934254607
Argentina,ARG,"PPG, multilateral (DIS, current US$)",DT.DIS.MLAT.CD,3677857369,4517047528,3144009180
Argentina,ARG,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD,2558265088,2448637319,2927178620
Argentina,ARG,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD,642912604.6,842322855.2,2205922027
Argentina,ARG,"PPG, bilateral (DIS, current US$)",DT.DIS.BLAT.CD,143687693.7,498491025.9,1982287463
Argentina,ARG,"PPG, multilateral (INT, current US$)",DT.INT.MLAT.CD,522593817.6,699640382.5,1792749161
Argentina,ARG,"PPG, multilateral (AMT, current US$)",DT.AMT.MLAT.CD,1871373948,1831885912,1738661147
Argentina,ARG,"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",DT.INT.DPNG.CD,2018520102,1137025326,1618880000
Argentina,ARG,"PPG, bilateral (AMT, current US$)",DT.AMT.BLAT.CD,686891140.8,616751406.9,1188517474
Argentina,ARG,"PPG, private creditors (INT, current US$)",DT.INT.PRVT.CD,646881539.6,1087174445,1109452580
Argentina,ARG,"PPG, bonds (INT, current US$)",DT.INT.PBND.CD,639685206.6,1073671590,1093982602
Argentina,ARG,"PPG, bilateral (INT, current US$)",DT.INT.BLAT.CD,120318787,142682472.7,413172866.3
Argentina,ARG,"PPG, other private creditors (AMT, current US$)",DT.AMT.PROP.CD,77735527.5,113225582.6,113225582.6
Argentina,ARG,"PPG, commercial banks (AMT, current US$)",DT.AMT.PCBK.CD,60804445.4,68474281.9,53965805.6
Argentina,ARG,"PPG, commercial banks (INT, current US$)",DT.INT.PCBK.CD,7196333,7486823.8,15469977.6
Argentina,ARG,"PPG, commercial banks (DIS, current US$)",DT.DIS.PCBK.CD,111327563.5,66231465.3,12702779.3
Argentina,ARG,"PPG, other private creditors (INT, current US$)",DT.INT.PROP.CD,0,6016030.9,6016030.9
Argentina,ARG,"PPG, other private creditors (DIS, current US$)",DT.DIS.PROP.CD,0,0,0
Armenia,ARM,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,1625925691,1094715583,1414913981
Armenia,ARM,"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",DT.AMT.DPNG.CD,1379978000,838629000,1105836840
Armenia,ARM,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,332910121.6,356248261.2,432574739.5
Armenia,ARM,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,3033079764,949818792.1,331328574
Armenia,ARM,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD,358885763.5,471162792.1,314363574
Armenia,ARM,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD,242285519.3,252395279.8,305206068.2
Armenia,ARM,"PPG, multilateral (DIS, current US$)",DT.DIS.MLAT.CD,159050308.1,207739238.2,199962060.8
Armenia,ARM,"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",DT.INT.DPNG.CD,188213000,194325000,198891000
Armenia,ARM,"PPG, multilateral (AMT, current US$)",DT.AMT.MLAT.CD,159517302.2,163076616.7,183092467.5
Armenia,ARM,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD,75006101.2,78779600.7,150783977.3
Armenia,ARM,"PPG, bilateral (AMT, current US$)",DT.AMT.BLAT.CD,82768217.1,89318663.1,122113600.7
Armenia,ARM,"PPG, multilateral (INT, current US$)",DT.INT.MLAT.CD,52812352.3,57344432.4,118091881.5
Armenia,ARM,"PPG, bilateral (DIS, current US$)",DT.DIS.BLAT.CD,199835455.4,263423553.9,114401513.2
Armenia,ARM,"PPG, private creditors (INT, current US$)",DT.INT.PRVT.CD,69691020.4,83143660.5,82899762.2
Armenia,ARM,"PPG, bonds (INT, current US$)",DT.INT.PBND.CD,69000000,82500000,82295000
Armenia,ARM,"PPG, bilateral (INT, current US$)",DT.INT.BLAT.CD,22193748.9,21435168.3,32692095.8
Armenia,ARM,"PPG, private creditors (DIS, current US$)",DT.DIS.PRVT.CD,733035000,0,16965000
